"Category","Date","Related to Categories (1) (Expense Records)","Category-Select","Account","Amount","Name"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","28/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Internal Bank Transfer","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",50000,"BOB to PAYTM"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","18/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Long Term Investments","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",100000,"HDFC FD"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","03/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Internal Bank Transfer","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",200000,"Internal Bank Transfer to HDFC"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","17/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Long Term Investments","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",50000,"HDFC FD"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","18/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Long Term Investments","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",250000,"HDFC FD"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","13/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",500,"fast tag"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","15/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",1000,"fast tag"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","10/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",4274,"petrol"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","10/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",500,"fast tag"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","10/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",2000,"hotel cappal"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","11/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",500,"fast tag"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","11/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",1317.75,"dominoz pizza "
